Timestamp,Acceleration_X,Acceleration_Y,Acceleration_Z,Rate_X,Rate_Y,Rate_Z,Mag_X,Mag_Y,Mag_Z,Latitude,Longitude,Altitude,Speed,Date,Time
111,3784,512,16012,-818,817,603,0,0,0,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
239,4452,-464,17072,-496,1360,-50,-1707,-270,-643,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
371,3552,540,15760,152,-461,-634,-1702,-277,-652,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
498,4176,-128,16368,-801,979,53,-1702,-262,-652,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
629,3812,-1112,15960,402,572,-1279,-1693,-305,-697,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
756,4196,-1700,14996,-1182,1580,1198,-1668,-297,-676,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
883,2600,-392,15132,177,464,299,-1663,-260,-685,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
1011,4028,-644,15608,418,-1149,993,-1646,-260,-685,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
1142,3528,-1196,15224,-1400,-761,464,-1638,-235,-678,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1275,3644,-1408,16380,-1269,-170,-126,-1622,-270,-692,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1401,3284,-1080,15704,45,1141,-117,-1617,-290,-702,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1528,3072,-2028,17108,-346,-1913,18,-1617,-277,-708,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1655,4760,-1388,16880,3623,-4283,719,-1617,-182,-681,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1782,5692,708,14596,6569,-10482,-3646,-1725,-17,-566,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1918,9916,2400,10468,6920,-29098,-4223,-1862,322,-280,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2046,12568,4416,8008,552,-18199,-2821,-1931,587,98,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2173,16464,3972,2396,-1697,-10561,-4418,-1955,745,376,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2299,16668,4276,1176,-2034,-9090,-644,-1960,777,537,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2426,15668,4368,824,-866,-3985,2305,-1952,785,678,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2558,15640,4816,-1504,-604,-4893,-508,-1972,760,960,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2689,15220,4284,-568,-6930,18964,2259,-1950,765,748,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2816,15444,5412,5808,1897,13120,1661,-1931,710,470,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2943,16708,4388,9400,207,15643,6044,-1913,620,251,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3071,10084,1332,15064,893,8269,2621,-1816,512,-10,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3204,11684,-220,10740,-956,3650,1126,-1750,522,-45,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3330,11492,-324,11660,991,3438,2778,-1710,515,-73,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3461,8920,668,12420,4775,19815,1153,-1788,407,-108,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3588,7112,-16,14128,2237,5473,1421,-1867,165,-235,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3715,5148,1188,15700,18,-2203,242,-1943,122,-235,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3847,4704,3188,15904,5733,3308,1485,-2031,110,-200,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3974,-156,5296,14212,-14605,18619,17136,-2125,-47,-218,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4102,-2980,-796,16912,-472,-2468,-6117,-1931,-465,-518,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4233,-1972,-184,15828,-397,-8611,-3418,-1872,-460,-601,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4359,-1448,-2780,15804,-9553,-2889,-5691,-1700,-477,-695,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4492,-60,-5064,14100,-7666,-5390,-6109,-1460,-492,-861,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4619,2596,-3772,15156,-2797,794,-9182,-1252,-465,-952,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4746,-3048,-4372,19284,7503,-10061,-667,-1320,-937,-960,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4873,1208,-5464,17420,-247,-989,-27,-1406,-865,-946,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5005,120,-2536,12868,-8568,-6284,3343,-1191,-747,-960,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5138,2384,-4880,15152,-2400,-2051,4889,-982,-492,-1002,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5266,7820,-10628,11536,60,8141,-1618,-835,-615,-1018,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5393,820,-13240,18768,3612,-3318,2411,-735,-965,-1040,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5519,-680,-7760,9460,7915,9275,-371,-791,-1007,-1048,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5646,-1816,-5716,15628,-618,-498,2256,-933,-1200,-1037,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5782,-4712,-7568,12112,3359,894,-152,-918,-1195,-1053,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5909,-1440,-6320,15896,-3044,1137,-468,-947,-1190,-1040,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6037,-2160,-7028,16024,3552,681,-3623,-936,-1225,-1027,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6164,-220,-5236,16104,-3254,-1331,-3734,-860,-1205,-1030,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6290,-900,-8304,12108,-6948,-69,-3336,-671,-1195,-1023,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6422,-544,-8700,12536,-453,-246,-891,-592,-1185,-990,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6553,-1292,-10228,11428,2578,-5641,-382,-587,-1062,-1032,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6680,-2620,-7392,17224,4118,339,202,-735,-1167,-1042,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6807,-2420,-6296,14224,4445,-202,6854,-867,-1180,-1058,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6934,-728,-8316,12496,3153,-3327,6475,-970,-1207,-1053,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
7067,-1740,-5540,15388,433,-3117,333,-1067,-1160,-1077,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
7194,-3828,-6116,17172,162,-828,-746,-1063,-1185,-1075,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
